iter	Huber:delta=1.5
0	2.799737913
1	2.576525882
2	2.415007004
3	2.28505764
4	2.178519018
5	2.100949341
6	2.042068935
7	1.987665816
8	1.937539798
9	1.891166645
10	1.849814251
11	1.812289413
12	1.776691179
13	1.744186103
14	1.713276291
15	1.683121064
16	1.656817285
17	1.631264133
18	1.605793855
19	1.583029649
20	1.560046619
21	1.539939824
22	1.519398956
23	1.501048833
24	1.482673013
25	1.463591138
26	1.447288669
27	1.431420565
28	1.414575806
29	1.400324337
30	1.384789194
31	1.370776752
32	1.35789409
33	1.344931311
34	1.332604738
35	1.319775399
36	1.30755459
37	1.296121172
38	1.28064113
39	1.269816315
40	1.259736655
41	1.248916984
42	1.239313274
43	1.229360931
44	1.22030864
45	1.21105831
46	1.20123387
47	1.19272478
48	1.184610945
49	1.175449041
50	1.167147729
51	1.159553061
52	1.152417518
53	1.144912766
54	1.137880847
55	1.13119987
56	1.124282757
57	1.116906845
58	1.110524091
59	1.104351386
60	1.098293497
61	1.092233479
62	1.086258843
63	1.080576325
64	1.074607792
65	1.068471102
66	1.063366264
67	1.057771283
68	1.052987294
69	1.047933079
70	1.04326451
71	1.038515903
72	1.033860456
73	1.029607307
74	1.024955419
75	1.020395214
76	1.015875908
77	1.011384349
78	1.007292752
79	1.002990023
80	0.9992563294
81	0.9952928402
82	0.9914016101
83	0.9876461528
84	0.9841024338
85	0.9805863975
86	0.9771287725
87	0.9735096579
88	0.9696411074
89	0.9662075724
90	0.963054292
91	0.9599415549
92	0.9567229538
93	0.9531949293
94	0.9500126296
95	0.9470119196
96	0.9440167135
97	0.940847407
98	0.9377620967
99	0.9349402338
100	0.9323065647
101	0.9292317528
102	0.9259701991
103	0.9227304644
104	0.9200704917
105	0.9176162239
106	0.9147562864
107	0.9122596375
108	0.9100752325
109	0.9077702347
110	0.9055787847
111	0.903112286
112	0.900816494
113	0.8983134992
114	0.8961976454
115	0.8936391578
116	0.8916090132
117	0.8895468746
118	0.8875018607
119	0.8852929045
120	0.8832198354
121	0.8810156352
122	0.8786777152
123	0.8767767793
124	0.8750137084
125	0.8731704844
126	0.8714221077
127	0.8695908942
128	0.8677955862
129	0.8661546113
130	0.864103514
131	0.862505824
132	0.860620726
133	0.8591161628
134	0.8571914161
135	0.8555427822
136	0.854064747
137	0.8523437689
138	0.8508920604
139	0.8494958999
140	0.8479844931
141	0.8465547112
142	0.8448986597
143	0.8435410525
144	0.8422058902
145	0.8406908407
146	0.8394926514
147	0.8380328733
148	0.8368915417
149	0.8356644706
150	0.8342716707
151	0.832860632
152	0.8313890083
153	0.8299030737
154	0.8286048224
155	0.8275799229
156	0.8261611683
157	0.8246801578
158	0.8234661632
159	0.8223273476
160	0.8211175434
161	0.8198345128
162	0.8187778777
163	0.8177832733
164	0.8164810033
165	0.8153210651
166	0.814195754
167	0.8130134005
168	0.8116564973
169	0.8106494339
170	0.8094697693
171	0.8083944904
172	0.807355399
173	0.8063811931
174	0.8054845198
175	0.8043959755
176	0.8035200327
